Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
234,Davangere,Davangere,Cotton,MCU 5,FAQ,1549,6798,5524,10 Oct 2018
235,Davangere,Davangere,Cotton,MCU 5,FAQ,1555,4569,4392,21 Nov 2017
236,Davangere,Davangere,Cotton,MCU 5,FAQ,1559,5445,4463,19 Jan 2018
237,Davangere,Davangere,Cotton,MCU 5,FAQ,1569,4781,4550,06 Mar 2019
238,Davangere,Davangere,Cotton,MCU 5,FAQ,1569,4969,4399,05 Feb 2018
239,Davangere,Davangere,Cotton,MCU 5,FAQ,1569,5211,4979,28 Jan 2020
240,Davangere,Davangere,Cotton,MCU 5,FAQ,1569,5469,5154,14 Mar 2017
241,Davangere,Davangere,Cotton,MCU 5,FAQ,1569,5496,4896,20 Mar 2017
242,Davangere,Davangere,Cotton,MCU 5,FAQ,1569,5555,4107,05 Dec 2019
243,Davangere,Davangere,Cotton,MCU 5,FAQ,1569,6061,4807,27 Nov 2019
244,Davangere,Davangere,Cotton,MCU 5,FAQ,1570,5386,4082,31 Oct 2019
245,Davangere,Davangere,Cotton,MCU 5,FAQ,1570,6052,5397,10 Dec 2018
246,Davangere,Davangere,Cotton,MCU 5,FAQ,1570,6250,5113,09 Dec 2016
247,Davangere,Davangere,Cotton,MCU 5,FAQ,1570,6600,5591,22 Aug 2016
248,Davangere,Davangere,Cotton,MCU 5,FAQ,1580,4020,3560,01 Jun 2020
249,Davangere,Davangere,Cotton,MCU 5,FAQ,1590,4300,3364,21 Mar 2016
250,Davangere,Davangere,Cotton,MCU 5,FAQ,1600,5290,4736,14 Nov 2016
251,Davangere,Davangere,Cotton,MCU 5,FAQ,1600,6109,4767,30 Dec 2016
252,Davangere,Davangere,Cotton,MCU 5,FAQ,1600,6119,5269,21 Feb 2017
253,Davangere,Davangere,Cotton,MCU 5,FAQ,1600,6290,5358,06 Dec 2016
254,Davangere,Davangere,Cotton,MCU 5,FAQ,1609,5129,4530,28 Nov 2019
255,Davangere,Davangere,Cotton,MCU 5,FAQ,1609,5181,4132,02 Jan 2020
