Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
310,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2425,2100,15 Mar 2019
311,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2430,2330,20 Mar 2019
312,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2500,2100,28 Sep 2020
313,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2500,2150,11 Feb 2019
314,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2500,2150,30 Mar 2019
315,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2570,2180,21 Aug 2019
316,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2600,2200,01 Jun 2020
317,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1801,2276,2112,15 Nov 2022
318,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1810,1830,1820,30 Aug 2021
319,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1810,1860,1830,04 Apr 2022
320,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1810,1870,1821,29 May 2018
321,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1810,1950,1883,19 Nov 2019
322,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1810,1965,1908,14 May 2018
323,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1810,2095,1922,27 Oct 2022
324,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1811,2062,1968,29 Sep 2022
325,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1812,1980,1917,24 Jan 2018
326,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1815,1840,1830,05 Apr 2022
327,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1815,1910,1860,08 Dec 2021
328,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1820,1820,1820,02 Jan 2021
329,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1820,1820,1820,17 Jun 2021
330,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1820,1820,1820,29 Jan 2022
331,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1820,1850,1847,22 Jan 2018
332,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1820,1920,1850,31 May 2018
333,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1820,1950,1880,14 Sep 2021
334,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1820,2010,1922,19 Mar 2020
335,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1820,2070,1950,01 Jun 2021
336,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1820,2300,1930,24 Feb 2020
337,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1825,1825,1825,29 Oct 2021
338,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1825,1910,1890,20 Nov 2019
339,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1825,2025,1942,12 Apr 2018
340,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1825,2250,2040,21 Feb 2022
